=== ClickBench LC OFF Benchmark (3 iters, min latency) ===
100M docs, single shard, r8g.2xlarge (arm64, 64GB RAM)
Query | Min(ms) | Times(ms)
------|---------|----------
Q1    |      15 | 74 15 15
Q2    |      43 | 135 44 43
Q3    |     125 | 263 125 125
Q4    |     107 | 387 109 107
Q5    |    1543 | 1849 1543 1575
Q6    |    1808 | 2082 1833 1808
Q7    |      15 | 76 15 17
Q8    |      47 | 149 48 47
Q9    |    1480 | 1830 1506 1480
Q10   |    1998 | 2524 2003 1998
Q11   |     265 | 592 273 265
Q12   |     317 | 688 322 317
Q13   |    1028 | 1368 1042 1028
Q14   |    1460 | 1936 1479 1460
Q15   |    1016 | 1369 1016 1040
Q16   |    1406 | 1670 1420 1406
Q17   |    2588 | 3099 2601 2588
Q18   |    3118 | 3596 3118 3140
Q19   |    7396 | 8258 7423 7396
Q20   |      37 | 164 37 37
Q21   |    1821 | 4333 1837 1821
Q22   |    1890 | 5021 1890 1892
Q23   |    3537 | 10424 3623 3537
Q24   |   10870 | 28510 10936 10870
Q25   |     397 | 913 403 397
Q26   |     343 | 646 343 344
Q27   |     435 | 1040 446 435
Q28   |    2308 | 4380 2310 2308
Q29   |   43452 | 44802 43452 43481
Q30   |    2542 | 2698 2548 2542
Q31   |    1051 | 1699 1065 1051
Q32   |     942 | 2332 942 953
Q33   |    3574 | 4074 3583 3574
Q34   |    6080 | 7809 6080 6151
Q35   |    7241 | 8804 7366 7241
Q36   |    1805 | 2033 1805 1818
Q37   |     253 | 581 263 253
Q38   |     144 | 320 146 144
Q39   |     194 | 510 203 194
Q40   |     447 | 923 447 468
Q41   |      63 | 247 68 63
Q42   |      62 | 226 63 62
Q43   |      59 | 199 61 59
