=== ClickBench LC ON (selectivity gate) - 3 iters ===
100M docs, single shard, r8g.2xlarge (arm64, 64GB RAM)
Query | Min(ms) | Times(ms)
------|---------|----------
Q1    |      28 | 1886 32 28
Q2    |      54 | 310 54 55
Q3    |      82 | 239 84 82
Q4    |      45 | 198 45 45
Q5    |    1498 | 1525 1501 1498
Q6    |    2171 | 2171 2204 2195
Q7    |      22 | 38 23 22
Q8    |      55 | 123 55 55
Q9    |    1623 | 1800 1628 1623
Q10   |    2173 | 2241 2194 2173
Q11   |     537 | 552 537 554
Q12   |     620 | 620 643 645
Q13   |    1385 | 1419 1393 1385
Q14   |    1790 | 1871 1810 1790
Q15   |    1376 | 1438 1447 1376
Q16   |    1395 | 1405 1404 1395
Q17   |    3162 | 3218 3162 3271
Q18   |    4165 | 4165 11165 8144
Q19   |   14189 | 14189 14244 14261
Q20   |      39 | 102 39 39
Q21   |    2035 | 2076 2035 2051
Q22   |    2099 | 2099 2134 2100
Q23   |    3986 | 4016 3986 3994
Q24   |   13235 | 13297 13235 13277
Q25   |     722 | 935 722 728
Q26   |     687 | 688 687 689
Q27   |     815 | 823 819 815
Q28   |    3133 | 3133 4924 4241
Q29   |   63622 | 63642 63622 63648
Q30   |    3821 | 5137 4585 3821
Q31   |       4 | 1615 3848 4 (script bug)
Q32-Q43 | 4ms (script escaping bug - queries malformed)
