=== ClickBench LC ON Benchmark (3 iters, min latency) ===
100M docs, single shard, r8g.2xlarge (arm64, 64GB RAM)
Query | Min(ms) | Times(ms)
------|---------|----------
Q1    |      21 | 23 21 25
Q2    |      48 | 49 48 48
Q3    |     142 | 145 142 142
Q4    |     119 | 123 123 119
Q5    |    1434 | 1571 1434 1475
Q6    |    2009 | 2010 2015 2009
Q7    |      19 | 37 20 19
Q8    |      50 | 103 54 50
Q9    |    1487 | 1635 1487 1491
Q10   |    2041 | 2044 2061 2041
Q11   |     490 | 497 492 490
Q12   |     565 | 2428 567 565
Q13   |    1274 | 1274 1280 1284
Q14   |    1655 | 1689 1684 1655
Q15   |    1304 | 4742 1304 1311
Q16   |    3059 | 3106 3084 3059
Q17   |    4497 | 4508 4497 4502
Q18   |    4954 | 5307 5008 4954
Q19   |   12279 | 50332 12351 12279
Q20   |      33 | 37 33 33
Q21   |    1955 | 1968 1986 1955
Q22   |    2016 | 2019 2017 2016
Q23   |    3813 | 3867 3839 3813
Q24   |   13255 | 13329 13362 13255
Q25   |     710 | 713 714 710
Q26   |     650 | 653 653 650
Q27   |    1014 | 1028 1015 1014
Q28   |    2832 | 11684 2832 2872
Q29   |   63519 | 63601 63527 63519
Q30   |    2578 | 2616 2578 2579
Q31   |    4920 | 10137 6562 4920
Q32   |    6946 | 9280 6946 6949
Q33   |    8120 | 8154 8120 8154
Q34   |    6318 | 6482 6318 6392
Q35   |    7544 | 7704 7627 7544
Q36   |    4643 | 4679 4645 4643
Q37   |     801 | 801 1120 1115
Q38   |     981 | 981 985 982
Q39   |    1059 | 1071 1071 1059
Q40   |    1828 | 1828 2043 2037
Q41   |    1150 | 2108 1150 1369
Q42   |    1466 | 1466 1510 1503
Q43   |     880 | 1033 894 880
